column,missing_count,missing_pct,missing_type,gender_breakdown
gestational_history,41448,41.45,gender_specific,Female: 0/58552 (0.0%); Male: 41430/41430 (100.0%); Other: 18/18 (100.0%)
year,0,0.0,standard,
gender,0,0.0,standard,
environmental_risk,0,0.0,standard,
region_income,0,0.0,standard,
urban_rural,0,0.0,standard,
medication_use,0,0.0,standard,
family_history,0,0.0,standard,
alcohol_intake,0,0.0,standard,
sleep_hours,0,0.0,standard,
diet_pattern,0,0.0,standard,
physical_activity,0,0.0,standard,
age_group,0,0.0,standard,
bmi_category,0,0.0,standard,
blood_glucose_level,0,0.0,standard,
hbA1c_level,0,0.0,standard,
bmi,0,0.0,standard,
smoking_history,0,0.0,standard,
heart_disease,0,0.0,standard,
hypertension,0,0.0,standard,
race:Other,0,0.0,standard,
race:Hispanic,0,0.0,standard,
race:Caucasian,0,0.0,standard,
race:Asian,0,0.0,standard,
race:AfricanAmerican,0,0.0,standard,
location,0,0.0,standard,
age,0,0.0,standard,
diabetes,0,0.0,standard,
